favorite_count,media/0/type,reply_count,retweet_count,view_count
55263,,7512,4411,21020499
303280,video,13125,24094,81268888
38644,photo,1079,4461,
33923,video,1318,4218,
17010,,658,2628,
494494,photo,9644,41601,69803633
37151,video,1497,3934,
25263,,2753,1752,6288926
316880,,17204,20290,62654437
107517,,3105,6723,57703120
94811,,9013,5739,41049217
26113,photo,776,2900,
32200,photo,1008,3359,
63941,video,2071,11531,
57420,,3936,5102,50999397
161737,,8783,7833,40181708
255122,photo,6691,16284,48223117
658820,photo,10897,58607,86617912
178529,,24235,19962,48919831
34520,video,1500,3518,7006292
24278,,1020,1270,6692375
140214,photo,4141,11332,38108425
791227,photo,15338,70352,95410290
28542,,1779,1355,6316020
477527,photo,8176,35058,68209005
15516,,910,960,4362042
25299,,3940,1678,4835614
105197,photo,3423,6074,37775152
106890,photo,8352,9987,26899000
114570,photo,4195,6912,41591827
43605,photo,1908,4253,
39367,photo,1504,3568,
335427,,35009,28041,75931558
31873,photo,1058,3473,
129909,,5797,8205,74150213
240837,video,12204,19606,71055125
174357,video,12025,11169,97744777
29760,photo,1324,3435,
22835,photo,1473,2157,
14179,,518,1342,
17858,,2441,3450,
587953,photo,28220,44854,92990834
19271,,1712,1410,6167314
225692,photo,12784,16958,50171014
28566,,1567,1915,5015983
167011,,8775,14984,41987780
19957,photo,1103,3407,
50612,,2838,4239,60765375
32674,photo,971,3369,
631505,,44661,40924,91076042
44681,,3124,3981,55294561
85568,,7442,10178,72809953
46954,,3889,3964,52394431
113327,photo,5547,4580,10156155
273148,photo,7579,17936,56418588
101873,photo,4812,9181,35932586
20087,,907,2439,
67889,,4331,4270,35489240
501308,photo,15717,31229,66084540
64688,,3217,9988,53804552
52464,,5155,5249,53381549
475317,photo,17955,33880,70720530
175660,photo,10930,16455,48204166
27755,video,1311,3463,
74356,,3116,5117,56544042
18284,video,695,2401,
33824,photo,912,3215,
122811,photo,6090,7976,37838272
380599,photo,12826,22500,62416296
162735,,10471,10272,37778023
37951,video,1332,4377,
299617,,21460,26807,50912422
126752,,7701,7247,68497293
61634,photo,2662,3590,8546104
118728,,6305,7805,53091584
324029,photo,9698,24748,62241455
261540,,18718,28712,108091279
50972,,4419,3464,7342072
146047,photo,12559,13845,50255200
56270,,5317,3750,58078116
67176,,5445,5132,57302944
10475,,998,1276,5131742
103203,,5916,11227,72243866
42413,,4264,4463,32421622
188515,,7932,16714,84297697
48430,photo,2199,4183,
509809,photo,14975,26994,67775378
608251,photo,14965,35699,82101432
101553,,5485,4672,10022300
1267030,photo,43595,91328,139400939
30923,,1586,2231,52582835
27794,,1496,2068,51140175
639843,,31590,42925,84654622
262239,,13960,15545,60666166
26141,photo,1190,2390,
1057946,photo,25618,90191,114927061
471390,,12843,39390,65353237
1472328,photo,47458,83964,176294078
215012,,9830,15124,55108755
45815,,4503,3818,18301091
228144,,124382,18800,92419578
22483,,918,1984,
34078,video,1373,3640,
126039,,11008,9885,34707893
16896,,1137,1353,11400252
102195,,5288,7904,36844275
30856,,2238,2763,10765754
708991,,34625,52677,107198445
729452,photo,14812,50168,71967540
38454,,1641,2301,15779761
122871,,9939,9864,48960322
57214,photo,1579,6173,
36326,,1910,4773,
15797,,690,2776,
24939,video,614,3280,
168434,photo,5013,9907,24311288
471904,,53107,51748,63159970
26028,photo,1355,2884,
70841,,3443,5855,18192553
45294,photo,1822,5745,
37746,,3549,3417,16828961
21504,photo,1676,1497,7925027
65501,photo,4085,5164,20502950
268208,,43867,17467,53338391
126304,,13088,11296,21861870
62706,,3853,5883,17532352
50298,photo,1345,5607,
0,,0,5729,17
37104,,2802,3313,14552321
17291,,676,1314,
27313,photo,1621,3462,
19835,,1574,2328,6437168
147047,,9325,10313,20691724
204779,,12616,19472,34066241
314437,,11149,25089,41639860
21314,video,1390,2941,
371888,photo,11023,36173,26577978
152790,photo,9711,19370,22061526
16846,photo,1045,2330,
368270,,47839,23089,69525433
420648,,33812,40050,34174802
49402,,4784,3832,11370369
245504,photo,14327,22105,35527910
112966,,6037,10000,16217194
20289,video,735,2858,
27688,,1839,2598,7980295
25049,video,807,3527,
62862,photo,5191,5969,12494840
23720,,996,6035,6091620
42113,,1363,3729,5181334
49460,,1555,5463,3301433
113442,,4994,28144,14129970
35666,,3047,3001,9361868
37018,,3814,3184,10173790
10082,,801,1211,
113228,photo,8359,10118,21740125
142667,photo,4978,9305,9828796
540793,,40803,51205,76421534
308404,photo,17148,22687,28581024
274723,,18027,18319,27032925
262517,,14639,18673,21345074
45578,video,1865,5113,
66883,,5373,4930,10594826
321617,,15355,28643,57561229
52748,,3357,4591,9087086
170248,,10697,13309,24239907
25588,video,934,3661,
64038,,3057,3487,7329195
690407,,34441,3325,37151574
40100,video,2234,4284,
48561,,3440,3265,9422073
52501,,5591,2951,6358113
52209,,9805,5002,15776452
42059,,1995,1678,4977939
56016,,2259,2422,6495210
228599,photo,12301,11560,19748198
27654,,1689,2345,6636963
264341,photo,12234,16008,16843395
38258,,2398,8846,
503144,photo,25491,60722,45063744
40510,,2421,1776,6891167
51060,,2364,2840,7486878
211229,,27266,13343,47745106
134404,photo,5698,19290,23332310
44932,,2145,7163,9021734
368961,photo,14838,25330,25965129
145071,,10136,10560,14924894
367087,,24962,21200,35915294
25922,,988,6433,
180739,,13692,10830,16265856
142078,photo,9446,15201,17052332
31633,,1066,5378,
78850,,4275,19794,8783334
74075,,5388,18211,9290600
33233,video,1310,4150,
272703,,15178,25329,31170728
189553,,19026,15932,16410200
40975,photo,1506,4285,
170676,photo,8114,9000,14283972
17904,,1165,2940,
902124,,62683,55323,82114168
26992,photo,1160,3393,
130331,photo,6956,10072,10313982
20875,,947,2492,
42682,,5867,3218,9913537
318680,,19795,32082,38855684
23323,video,931,2285,
19944,,585,1822,
0,,0,5988,44
38603,photo,1353,4516,
56079,video,2161,8005,
192445,,11408,11409,21902484
65794,,5711,3793,9298173
253988,,14694,15270,27162155
156307,,13344,8680,37886714
57846,,2310,3210,6243958
82489,,2710,7641,9013290
75805,,5522,6704,11438729
289126,,18770,25045,31063775
10880,,929,1522,
35788,,2186,3377,8878642
16888,photo,931,1806,
13393,,558,1466,
130556,,7703,11080,18090027
12995,photo,532,1416,
135361,,7813,10186,18421328
65625,,11513,9517,12302985
8766,,482,1076,
164893,,14081,17159,14011276
44164,,3758,4920,9538104
23654,photo,1352,2774,
24556,video,780,3630,
30105,video,822,3741,
249274,,14223,20892,44649647
45155,,3105,4211,9970304
143884,,7236,14481,6443110
302623,,34073,39457,29882965
110159,,40021,41064,26809910
208677,,10640,35739,18643014
147645,,10103,15074,16304444
57693,,4713,6074,11160386
123111,,7093,10812,22087114
198823,,21430,18720,23798881
149573,,7665,11713,24475718
167878,,12521,16637,19944398
148911,photo,5667,8961,16987394
642708,,145710,53057,75895209
40874,video,1582,5603,
21226,,1170,3887,
34669,photo,1519,3925,
64957,,5333,7198,10827363
29329,photo,1178,3569,
72785,,4422,15349,10852477
48935,,2485,4100,6587753
12181,,657,1866,
89791,photo,7320,9481,21555575
155739,,9379,15529,17170990
196203,,14522,16192,28445450
119955,,9052,8894,19937430
19398,,1316,1941,
18485,photo,1337,2000,
24913,,1350,3413,
37870,,1303,11258,
23248,,872,2492,
40031,photo,1005,5446,
324564,photo,14031,26349,24657884
41250,photo,1324,4626,
310761,,30702,26304,34096939
28722,photo,1591,3728,
91600,,6016,7492,21102684
21984,,950,3240,
20809,photo,1031,2441,
61942,video,1937,8766,
20295,,757,2414,
21955,,1415,2405,
395057,,35774,24968,60705355
85226,photo,6456,8057,22510908
165685,,12105,13461,26459052
83276,,8189,5401,27565977
38976,photo,963,3993,
51001,,5837,4820,19421716
70899,,4147,2235,13558997
399100,photo,26797,30460,59316870
330168,,46916,20287,45274258
97965,,10233,6135,21171151
84698,,8723,4709,25705570
23835,,1343,2789,
133666,,32679,10448,58591113
60999,,32950,3711,16080248
196672,,21625,20626,38282333
163786,,63682,11421,57866738
713235,,94965,41613,88643859
52858,,16730,7210,25672694
147259,,11375,43386,30634742
420794,photo,22929,61693,55673544
106511,,7528,23007,24623568
31787,,1587,4475,
602346,,41894,43808,56882412
807208,,52138,44082,81306192
81412,,2907,3893,13218395
83387,,2816,4515,15394368
181456,,10267,13203,34941708
348690,,33443,29199,56027345
128441,,8258,11053,19833119
1006925,photo,58224,142561,88232562
109058,,5251,7760,19960427
208739,,15589,13768,36596034
49199,,2820,4864,
311097,,23810,21314,42991340
38313,video,2163,3999,
633698,photo,23818,78223,51585623
605248,,41201,73878,58825829
163945,,9026,9696,24822045
137607,,5083,10057,22918772
39991,video,1327,3767,
36760,video,988,3567,
26701,,752,3020,
1218151,photo,73376,157388,129708807
486706,photo,15807,53534,44370988
40736,photo,2941,4303,
197213,,21868,34450,46070414
220411,,16256,13678,37245193
794983,photo,42217,49186,74247092
115131,,5639,12211,11456822
210935,,11673,49757,38046480
71469,photo,3081,5427,
489505,photo,35633,27224,51220239
74925,,3084,20664,
43481,,3869,2620,12891818
41200,,1785,2218,12685661
29847,,1757,1515,6360399
111730,,8784,6789,35891310
24548,,1415,4253,
116491,,12578,7686,34176058
38231,,1662,3713,
211547,,14531,8060,20076678
140692,,36842,17583,82905000
554724,,34510,30555,66560700
171747,,9640,10891,27463988
72172,,3701,3276,12307731
37402,video,1766,3459,
67295,,5306,13555,19934031
396002,,23498,32873,56806501
122163,,8388,9732,32726985
163711,,30458,29782,36237117
151998,,11613,11508,31037829
206953,,16110,26554,15458813
344709,,65609,30407,36139256
339957,,32151,39514,42864035
143425,,38614,37622,76085757
125724,,9779,27851,24855387
231671,,14071,20190,39447272
203207,,12742,43276,19132046
156599,,10483,23624,19198929
27288,,1810,3009,
351193,,27767,88936,65064412
142962,,7240,28638,20382622
32781,photo,2699,4416,
25418,,1505,2727,
36392,photo,1548,3482,
42433,,4239,3756,13227213
53835,video,3160,6139,
0,,0,57740,65
967049,,92178,96201,103479095
122146,,6499,16705,49042733
554719,,47854,45113,84719185
604831,,388658,252626,362930939
417857,,24308,21389,76673772
88091,photo,2552,5462,
515603,video,11746,42559,32152033
445263,video,11221,25902,34149192
36647,video,1006,3924,
507606,,10225,36126,37112526
146079,video,3966,8704,16243728
346934,,24500,14781,38693506
377651,video,10393,31038,29842757
688602,video,19235,39560,62455664
79653,,3560,6462,11263056
231803,,18449,18108,49927364
150447,,14570,13968,22968674
310634,,9762,18555,24991681
67037,,3421,6019,15605585
66697,photo,1396,9340,
50331,,3229,3461,7634184
46597,,5607,3767,11639363
145172,photo,8722,11191,27762977
168179,,18002,12748,44209268
127607,,20867,8619,46234728
105051,,5102,7762,16177205
288457,,20765,21751,57798005
37092,photo,928,3471,
149809,,10887,30542,27967945
490069,,35490,47837,38687168
338948,,19170,27895,22352608
40822,,6428,3505,17311656
339239,,30352,34288,48076999
652350,,62401,46165,74529987
65571,,2373,5921,
87483,,66733,18545,86402737
73171,,11219,2947,15870111
252126,,17832,27731,15626297
81457,,24649,9915,35963984
116484,,16055,7399,30361929
23886,video,1366,2899,
37587,photo,1895,5090,
73730,video,2414,8828,
52308,photo,2175,4300,
19615,,850,2803,
18106,,693,2024,
159169,video,25988,31037,18255237
274362,,22540,30873,
313586,,30725,32464,
42786,,4854,5224,
58613,photo,1554,4738,
42819,,2019,3281,
79025,,4964,3256,
214501,,15117,16179,
154588,photo,11454,11066,
259361,,16331,26232,
169778,,5273,14142,
27799,video,1720,2556,
174384,,12955,11697,
425033,,41045,36335,
742426,photo,31331,57200,
335274,,29933,73064,
492803,,35896,50655,
658853,,54505,87741,
200719,,8125,14270,
195285,,8797,11512,
307572,,32250,21818,
487760,,41688,25453,
1258729,,113163,186058,
366323,,15306,27320,
581125,photo,22592,79896,
287908,,14519,18059,
177509,,7835,15926,
80411,,3551,6607,
38771,video,949,4055,
576679,,33684,55186,
31140,,915,3844,
37489,video,729,3572,
54190,video,947,5297,
173781,,11618,33490,
43075,,1101,4463,
630025,photo,19284,63996,
673263,,34491,91653,
71700,,2193,4291,
1241605,,33177,136012,
203358,,11683,45863,
305983,,23632,36208,
85830,,4016,6114,
30782,photo,2126,3202,
203037,,11794,19858,
176791,,7893,10644,
393101,,16216,33031,
226536,photo,4153,14788,
355912,,23301,37501,
511050,,25480,63027,
210371,,12851,40011,
52101,video,2203,5818,
30913,video,732,3216,
39350,video,951,4103,
34711,,1613,5975,
37376,photo,1175,3801,
18724,,859,1757,
21560,photo,562,1687,
50774,photo,1424,4285,
162472,photo,4789,4448,
