favorite_count,media/0/type,reply_count,retweet_count,view_count
119735,video,1400,8174,8907121
120514,,320,6143,5625727
51476,photo,229,2771,1557633
24058,photo,111,873,1032387
37239,photo,85,1130,1676009
19413,,40,660,1713465
16181,,364,588,993271
115133,photo,559,2676,6418797
9816,,190,284,1692170
14610,animated_gif,81,471,1276549
23028,photo,145,184,2361006
36730,,111,577,4350411
34237,,182,1230,3191512
51490,,979,643,6210784
161794,video,414,10699,8508833
38052,photo,182,1544,1405065
83798,,175,2852,7460924
114038,,541,8923,8556188
4744,animated_gif,11,60,254856
29663,photo,304,357,1542558
28483,photo,56,556,736578
217265,,669,10450,11967560
24723,,53,1013,1246475
43065,video,265,2716,2727371
97524,,238,5253,4277447
31646,,180,1508,3494327
64952,,140,4078,3690438
60250,,293,1891,4479798
4090,,25,43,189664
90273,,170,5350,3991652
74065,,429,3891,11523467
64828,,166,2502,3389838
24441,photo,187,536,1150439
40887,,160,1778,1860426
21504,,579,1085,2532945
45345,photo,113,1292,1849962
162429,video,904,10689,10795659
58315,photo,685,1763,4124459
106942,,314,11605,7419857
21467,photo,297,736,1132867
17670,photo,28,422,403707
8590,,27,316,811111
175783,,282,8977,7846919
106408,photo,271,5419,4260110
42852,,169,2077,3261572
108927,photo,262,10964,6762880
35396,photo,151,938,1615320
5062,,154,107,1044409
143564,,387,13843,11177043
43992,photo,990,1281,3846988
93559,,214,3436,9558371
59678,,388,4264,7695747
4216,,26,47,214147
52582,photo,282,842,3391551
180029,,723,16577,12172972
83005,,306,3112,8158326
65127,photo,259,5333,3638311
168452,,216,14401,7444736
35907,photo,143,3701,1442124
155784,,984,10477,10122815
98316,,330,4614,5725144
77145,photo,148,3444,2190319
94893,,373,6446,11018306
60715,,189,4130,4367295
78492,,491,1331,17038443
84083,,257,5679,5555123
88718,photo,1493,3011,6523665
32729,,112,2366,1612132
3045,,31,11,409105
57182,photo,270,1015,15510622
111125,video,620,8058,8319962
133435,,70,6325,4873913
62883,photo,232,1913,2524134
14902,,25,296,484241
158973,,663,9571,14234788
103172,,280,6379,6393875
29880,photo,120,494,1554983
136509,,230,15438,8346791
47796,,108,912,5421034
40448,,288,1586,2156007
86667,photo,120,4066,2346621
65068,,711,4945,5680468
234049,,1342,17163,21682715
32825,photo,141,1358,1498956
206091,,563,10663,14848464
3563,,14,30,189168
20656,video,202,896,2024432
111331,photo,196,7614,4115716
14105,,60,739,600861
121999,photo,523,4542,5432930
66151,,139,2511,5093653
46050,,136,1866,3650167
39005,photo,89,1107,1489375
20414,,48,292,670382
166212,,796,12607,13494829
17066,,128,379,3785097
23972,,167,1235,1492357
150766,video,679,13056,8144017
77947,,198,4250,3511233
