favorite_count,media/0/type,reply_count,retweet_count,view_count
273,,29,1,
20629,photo,223,4422,
222,,2,1,
1038,photo,20,13,
163905,video,918,18971,
941,photo,19,5,
1307,,5,43,
805,,8,10,
714,photo,12,14,
143,,1,0,
593,photo,23,4,
199,animated_gif,3,1,
1329,photo,10,22,
57852,photo,734,16036,
979,,4,63,
48,animated_gif,0,0,
637,,8,39,
65,animated_gif,0,0,
499,,6,7,
192,,1,1,
614,,11,14,
518,,7,33,
650,,2,0,
29849,video,52,3817,514195
879,,4,9,
1627,photo,2,16,
273,,2,7,
347,,8,9,
225,photo,4,0,
831,photo,9,12,
1117,photo,14,3,
453,,6,4,
674,,6,9,
74,photo,0,8,
34,animated_gif,1,0,
103,,1,0,
591,,4,43,
2582,photo,11,118,
49079,photo,208,7570,
400,,1,7,
673,,3,23,
119,video,1,7,
5830,,5,610,
1216,,5,67,
1374,photo,4,7,
547,,9,2,
407,animated_gif,20,7,
987,photo,9,13,
31,,1,2,
26,,0,0,
992,,1,13,
2297,,8,105,
80060,photo,131,7769,
492,photo,15,1,
132,,19,0,
288,,2,1,
383,animated_gif,3,9,
218,,17,0,
498,photo,3,39,
593,,1,2,
1324,photo,8,26,
55,animated_gif,0,0,
211,,1,0,
736,video,7,6,9210
481,photo,13,12,
765,,5,29,
260,,2,1,
321,,0,0,
3506,,33,123,
221,,5,1,
231,,7,1,
51,animated_gif,0,2,
85,photo,3,5,
203,,1,1,
850,,9,32,
272,animated_gif,13,4,
594,,2,0,
1950,photo,12,15,
69,animated_gif,1,2,
260,,7,9,
445,,7,7,
519,,7,7,
980,,13,75,
395,photo,3,15,
248,,0,1,
1965,,14,130,
882,photo,61,44,
788,photo,5,24,
652,,140,0,
100171,photo,827,17668,
657,photo,4,17,
343,photo,3,5,
2168,photo,7,229,
251,,0,4,
244,,2,0,
260,,1,0,
2038,,19,116,
255,,2,8,
3513,,54,708,
537,,21,5,
283,,7,2,
333,photo,1,7,
1357,photo,5,20,
1019,photo,12,7,
16328,video,184,3173,
2499,photo,14,53,
851,,5,47,
593,,2,16,
333,,5,0,
319,,24,0,
2042,photo,21,19,
1823,,11,64,
161,photo,4,2,
42,photo,0,0,
55,photo,2,1,
1740,,2,88,
71,photo,2,0,
81,photo,2,0,
48,photo,1,0,
47,photo,1,0,
53,photo,1,0,
44,photo,1,0,
53,photo,1,0,
41,photo,1,0,
35,photo,1,0,
37,photo,1,0,
49,photo,2,0,
48,photo,1,0,
32,photo,1,0,
47,photo,1,0,
59,photo,1,0,
77,photo,2,0,
397,photo,2,4,
45,animated_gif,0,0,
290,,7,1,
265,,5,2,
223,,3,0,
1681,,8,34,
677,photo,10,8,
1186,,26,64,
254,,3,0,
1023,photo,13,25,
266,,1,2,
1898,photo,13,35,
252,photo,4,0,
32,,0,0,
1601,,4,44,
167,,3,1,
1323,photo,6,11,
182,photo,3,5,
203,,1,1,
323,,6,4,
690,,7,17,
670,photo,1,35,
857,,4,17,
775,,2,14,
791,,2,7,
141,,5,17,
1086,,8,38,
167,,0,0,
655,,7,16,
1402,photo,2,113,
328,video,6,14,3787
2200,,15,19,
212,,1,0,
1500,photo,22,60,
176,,0,0,
1389,,1,42,
1831,,8,59,
49,animated_gif,1,0,
121,photo,1,0,
137,photo,1,0,
594,photo,10,2,
39,animated_gif,1,2,
3789,,12,121,
3738,photo,24,73,
76,animated_gif,1,3,
445,,91,3,
117,,5,0,
474,,10,16,
871,,11,12,
2232,,14,118,
794,,2,29,
341,,11,2,
1056,,11,124,
168,,7,0,
596,,8,6,
206,,0,0,
2236,photo,6,16,
1040,photo,15,5,
430,,10,0,
235,,1,1,
891,photo,13,12,
262,,0,0,
2108,,9,35,
216,,0,4,
1436,,5,93,
148,,0,2,
534,,6,27,
640,photo,5,9,
349,video,7,4,3232
270,,2,0,
1571,,6,60,
403,,8,12,
790,,12,10,
193,,1,0,
670,,9,6,
289,,10,0,
1621,,2,141,
181,video,1,17,
212,,4,3,
455,,13,2,
237,,3,4,
229,,1,8,
161,,1,3,
157,,1,1,
1412,,9,59,
117,,1,0,
